,Date,Time,Vis,VisScore,Home,Home_Score,Box Score,OT,Attendence,Venue,Notes
1308,"Thu, Jun 11, 2015",9:00p,Golden State Warriors,103,Cleveland Cavaliers,82,Box Score,,"20,562",Quicken Loans Arena,
1309,"Sun, Jun 14, 2015",8:00p,Cleveland Cavaliers,91,Golden State Warriors,104,Box Score,,"19,596",Oracle Arena,
1310,"Tue, Jun 16, 2015",9:00p,Golden State Warriors,105,Cleveland Cavaliers,97,Box Score,,"20,562",Quicken Loans Arena,
0,"Tue, Oct 27, 2015",8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,"21,957",United Center,
1,"Tue, Oct 27, 2015",8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,"19,187",Philips Arena,
2,"Tue, Oct 27, 2015",10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,"19,596",Oracle Arena,
3,"Wed, Oct 28, 2015",7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,"18,846",Amway Center,
4,"Wed, Oct 28, 2015",7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,"18,624",TD Garden,
5,"Wed, Oct 28, 2015",7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,"17,732",Barclays Center,
6,"Wed, Oct 28, 2015",7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,"18,434",The Palace of Auburn Hills,
7,"Wed, Oct 28, 2015",7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,"19,800",Air Canada Centre,
8,"Wed, Oct 28, 2015",7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,"19,724",AmericanAirlines Arena,
9,"Wed, Oct 28, 2015",8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,"18,717",BMO Harris Bradley Center,
10,"Wed, Oct 28, 2015",8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,"18,203",Chesapeake Energy Arena,
11,"Wed, Oct 28, 2015",8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,"18,119",FedEx Forum,
12,"Wed, Oct 28, 2015",8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,"18,240",Toyota Center,
13,"Wed, Oct 28, 2015",10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,"18,055",Talking Stick Resort Arena,
14,"Wed, Oct 28, 2015",10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,"19,393",Moda Center,
15,"Wed, Oct 28, 2015",10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,"17,458",Sleep Train Arena,
16,"Wed, Oct 28, 2015",10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,"18,997",STAPLES Center,
17,"Thu, Oct 29, 2015",7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,"18,165",Bankers Life Fieldhouse,
18,"Thu, Oct 29, 2015",8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,"19,812",Madison Square Garden (IV),
